crate	Apache-2.0	Apache-2.0 WITH LLVM-exception	BSD-2-Clause	BSL-1.0	CC0-1.0	LGPL-2.1-or-later	MIT	Unicode-3.0	Unlicense
ahash@0.8.12	X						X
aho-corasick@1.1.5							X		X
android_system_properties@0.1.6	X						X
anstream@1.0.0	X						X
anstyle@1.0.14	X						X
anstyle-parse@1.0.0	X						X
anstyle-query@1.1.5	X						X
anstyle-wincon@3.0.11	X						X
arrow@58.4.0	X
arrow-arith@58.4.0	X
arrow-array@58.4.0	X						X
arrow-buffer@58.4.0	X
arrow-cast@58.4.0	X
arrow-csv@58.4.0	X
arrow-data@58.4.0	X
arrow-ipc@58.4.0	X
arrow-json@58.4.0	X
arrow-ord@58.4.0	X
arrow-row@58.4.0	X
arrow-schema@58.4.0	X
arrow-select@58.4.0	X
arrow-string@58.4.0	X
atoi@2.0.0							X
autocfg@1.5.1	X						X
base64@0.22.1	X						X
bitflags@2.13.1	X						X
bumpalo@3.20.3	X						X
bytes@1.12.1							X
cc@1.4.3	X						X
cfg-if@1.0.4	X						X
chrono@0.4.45	X						X
clap@4.6.6	X						X
clap_builder@4.6.6	X						X
clap_derive@4.6.4	X						X
clap_lex@1.1.0	X						X
colorchoice@1.0.5	X						X
const-random@0.1.18	X						X
const-random-macro@0.1.16	X						X
core-foundation-sys@0.8.7	X						X
crunchy@0.2.4							X
csv@1.4.0							X		X
csv-core@0.1.13							X		X
equivalent@1.0.2	X						X
find-msvc-tools@0.1.11	X						X
flatbuffers@25.12.19	X
futures-core@0.3.34	X						X
futures-task@0.3.34	X						X
futures-util@0.3.34	X						X
getrandom@0.2.17	X						X
getrandom@0.3.4	X						X
getrandom@0.4.3	X						X
half@2.7.1	X						X
hashbrown@0.17.1	X						X
heck@0.5.0	X						X
iana-time-zone@0.1.65	X						X
iana-time-zone-haiku@0.1.2	X						X
indexmap@2.14.0	X						X
is_terminal_polyfill@1.70.2	X						X
itoa@1.0.18	X						X
jobserver@0.1.35	X						X
js-sys@0.3.104	X						X
lexical-core@1.0.6	X						X
lexical-parse-float@1.0.6	X						X
lexical-parse-integer@1.0.6	X						X
lexical-util@1.0.7	X						X
lexical-write-float@1.0.6	X						X
lexical-write-integer@1.0.6	X						X
libc@0.2.189	X						X
libm@0.2.16							X
log@0.4.33	X						X
memchr@2.8.3							X		X
num-bigint@0.4.8	X						X
num-complex@0.4.6	X						X
num-integer@0.1.47	X						X
num-traits@0.2.19	X						X
once_cell@1.21.4	X						X
once_cell_polyfill@1.70.2	X						X
paimon-mosaic-cli@0.3.0	X
paimon-mosaic-core@0.3.0	X
pin-project-lite@0.2.17	X						X
pkg-config@0.3.34	X						X
proc-macro2@1.0.107	X						X
quote@1.0.47	X						X
r-efi@5.3.0	X					X	X
r-efi@6.0.0	X					X	X
regex@1.13.1	X						X
regex-automata@0.4.18	X						X
regex-syntax@0.8.11	X						X
rustc_version@0.4.1	X						X
rustversion@1.0.23	X						X
ryu@1.0.23	X			X
semver@1.0.28	X						X
serde@1.0.229	X						X
serde_core@1.0.229	X						X
serde_derive@1.0.229	X						X
serde_json@1.0.151	X						X
shlex@2.0.1	X						X
simdutf8@0.1.5	X						X
slab@0.4.12							X
strsim@0.11.1							X
syn@2.0.119	X						X
syn@3.0.3	X						X
tiny-keccak@2.0.2					X
unicode-ident@1.0.24	X						X	X
utf8parse@0.2.2	X						X
version_check@0.9.5	X						X
wasi@0.11.1+wasi-snapshot-preview1	X	X					X
wasip2@1.0.4+wasi-0.2.12	X	X					X
wasm-bindgen@0.2.127	X						X
wasm-bindgen-macro@0.2.127	X						X
wasm-bindgen-macro-support@0.2.127	X						X
wasm-bindgen-shared@0.2.127	X						X
windows-core@0.62.2	X						X
windows-implement@0.60.2	X						X
windows-interface@0.59.3	X						X
windows-link@0.2.1	X						X
windows-result@0.4.1	X						X
windows-strings@0.5.1	X						X
windows-sys@0.61.2	X						X
wit-bindgen@0.57.1	X	X					X
zerocopy@0.8.56	X		X				X
zerocopy-derive@0.8.56	X		X				X
zmij@1.0.23							X
zstd@0.13.3							X
zstd-safe@7.2.4	X						X
zstd-sys@2.0.16+zstd.1.5.7	X						X
