crate	Apache-2.0	Apache-2.0 WITH LLVM-exception	BSD-2-Clause	BSL-1.0	CC0-1.0	LGPL-2.1-or-later	MIT	Unicode-3.0	Unlicense
ahash@0.8.12	X						X
android_system_properties@0.1.6	X						X
arrow-array@58.4.0	X						X
arrow-buffer@58.4.0	X
arrow-data@58.4.0	X
arrow-schema@58.4.0	X
autocfg@1.5.1	X						X
bitflags@2.13.1	X						X
bumpalo@3.20.3	X						X
bytes@1.12.1							X
cc@1.4.3	X						X
cesu8@1.1.0	X						X
cfg-if@1.0.4	X						X
chrono@0.4.45	X						X
combine@4.6.7							X
const-random@0.1.18	X						X
const-random-macro@0.1.16	X						X
core-foundation-sys@0.8.7	X						X
crunchy@0.2.4							X
find-msvc-tools@0.1.11	X						X
futures-core@0.3.34	X						X
futures-task@0.3.34	X						X
futures-util@0.3.34	X						X
getrandom@0.2.17	X						X
getrandom@0.3.4	X						X
getrandom@0.4.3	X						X
half@2.7.1	X						X
hashbrown@0.17.1	X						X
iana-time-zone@0.1.65	X						X
iana-time-zone-haiku@0.1.2	X						X
jni@0.21.1	X						X
jni-sys@0.3.1	X						X
jni-sys@0.4.1	X						X
jni-sys-macros@0.4.1	X						X
jobserver@0.1.35	X						X
js-sys@0.3.104	X						X
libc@0.2.189	X						X
libm@0.2.16							X
log@0.4.33	X						X
memchr@2.8.3							X		X
num-bigint@0.4.8	X						X
num-complex@0.4.6	X						X
num-integer@0.1.47	X						X
num-traits@0.2.19	X						X
once_cell@1.21.4	X						X
paimon-mosaic-core@0.3.0	X
paimon-mosaic-jni@0.3.0	X
pin-project-lite@0.2.17	X						X
pkg-config@0.3.34	X						X
proc-macro2@1.0.107	X						X
quote@1.0.47	X						X
r-efi@5.3.0	X					X	X
r-efi@6.0.0	X					X	X
rustversion@1.0.23	X						X
ryu@1.0.23	X			X
same-file@1.0.6							X		X
shlex@2.0.1	X						X
slab@0.4.12							X
syn@2.0.119	X						X
thiserror@1.0.69	X						X
thiserror-impl@1.0.69	X						X
tiny-keccak@2.0.2					X
unicode-ident@1.0.24	X						X	X
version_check@0.9.5	X						X
walkdir@2.5.0							X		X
wasi@0.11.1+wasi-snapshot-preview1	X	X					X
wasip2@1.0.4+wasi-0.2.12	X	X					X
wasm-bindgen@0.2.127	X						X
wasm-bindgen-macro@0.2.127	X						X
wasm-bindgen-macro-support@0.2.127	X						X
wasm-bindgen-shared@0.2.127	X						X
winapi-util@0.1.11							X		X
windows-core@0.62.2	X						X
windows-implement@0.60.2	X						X
windows-interface@0.59.3	X						X
windows-link@0.2.1	X						X
windows-result@0.4.1	X						X
windows-strings@0.5.1	X						X
windows-sys@0.45.0	X						X
windows-sys@0.61.2	X						X
windows-targets@0.42.2	X						X
windows_aarch64_gnullvm@0.42.2	X						X
windows_aarch64_msvc@0.42.2	X						X
windows_i686_gnu@0.42.2	X						X
windows_i686_msvc@0.42.2	X						X
windows_x86_64_gnu@0.42.2	X						X
windows_x86_64_gnullvm@0.42.2	X						X
windows_x86_64_msvc@0.42.2	X						X
wit-bindgen@0.57.1	X	X					X
zerocopy@0.8.56	X		X				X
zerocopy-derive@0.8.56	X		X				X
zstd@0.13.3							X
zstd-safe@7.2.4	X						X
zstd-sys@2.0.16+zstd.1.5.7	X						X
